test.a	test.b	sim.mean	sim.sem
0.53	0.51	18.4727552243307	1.31808187594541
0.55	0.51	19.3766122921801	1.31816843757151
0.57	0.51	16.4704692270164	1.24059165379971
0.59	0.51	18.850853064364	1.31502462937842
0.61	0.51	19.0781980026694	1.33572516902252
0.63	0.51	20.8830960680669	1.37786731668673
0.65	0.51	17.7645158197661	1.40841809488645
0.67	0.51	19.4128774757004	1.41618841417743
0.69	0.51	21.3560033531306	1.41530884918913
0.71	0.51	21.340692090805	1.28203061705214
0.73	0.51	21.3352222902546	1.38118337138257
0.75	0.51	21.5812853590091	1.44183932369459
0.77	0.51	22.8070685726883	1.38241053773139
0.79	0.51	25.4187314743469	1.58012914913853
0.81	0.51	24.3230463974013	1.49048470400501
0.83	0.51	26.9305342076356	1.73615424850628
0.85	0.51	27.6328593426237	1.72418296486318
0.87	0.51	28.3071631060829	1.58655634056782
0.89	0.51	31.2437689323042	1.73167346300527
0.91	0.51	34.9110441665539	1.96671804811444
0.93	0.51	37.6421116062327	1.88835375303993
0.95	0.51	45.5600744125862	2.16593018701432
0.97	0.51	52.9761204202225	2.14124299721212
0.99	0.51	Inf	NA
0.51	0.53	18.4199728606942	1.4185569847617
0.53	0.53	19.6962742646236	1.16733708705928
0.55	0.53	17.8495114973269	1.24676379995899
0.57	0.53	19.6337340931676	1.4130289454016
0.59	0.53	19.0531324950271	1.28356715151788
0.61	0.53	17.8943429087451	1.16917308579546
0.63	0.53	19.1044629877442	1.38579464014224
0.65	0.53	20.6754158737548	1.4169962117345
0.67	0.53	18.5953741267937	1.31557932652629
0.69	0.53	20.6763196610445	1.38186786012935
0.71	0.53	19.0438012946217	1.40829073489647
0.73	0.53	21.5716635608168	1.36217475391981
0.75	0.53	23.6884238344717	1.65006767428233
0.77	0.53	22.5007991730889	1.32916368357256
0.79	0.53	21.7787826004665	1.47880503382237
0.81	0.53	21.9581168800435	1.50932942561221
0.83	0.53	28.020583140913	1.34168825917519
0.85	0.53	27.2392721283219	1.70636863267814
0.87	0.53	29.6998841494899	1.7240076427363
0.89	0.53	28.4176144153528	1.77116775830012
0.91	0.53	35.4200530203037	1.95340760130376
0.93	0.53	39.0927382726011	2.08284831001971
0.95	0.53	43.3359194418643	1.88080068487026
0.97	0.53	49.696047656534	2.334091065167
0.99	0.53	Inf	NA
0.51	0.55	17.7304484725315	1.24055979455939
0.53	0.55	15.7797545035904	1.19837202541393
0.55	0.55	20.8158007976734	1.29674985793045
0.57	0.55	20.3474167725934	1.31641370118696
0.59	0.55	18.4626279695168	1.20417690313508
0.61	0.55	18.9688997745224	1.36800498549915
0.63	0.55	19.8630227921454	1.20057778756264
0.65	0.55	19.1293396257491	1.31826076084912
0.67	0.55	20.8800237372402	1.36475801490392
0.69	0.55	21.2728348922854	1.30980367358722
0.71	0.55	21.4853996300858	1.36698820647829
0.73	0.55	21.9899511403668	1.43804872204598
0.75	0.55	22.7227359613227	1.42608547403241
0.77	0.55	22.0723950368598	1.58679447744812
0.79	0.55	24.7071185677881	1.46202929310488
0.81	0.55	25.4719720919463	1.64606552476767
0.83	0.55	24.3211572520561	1.48218766892033
0.85	0.55	26.1369217952722	1.57180658842014
0.87	0.55	25.2674517283209	1.54727764825022
0.89	0.55	28.9080790691408	1.64422099689871
0.91	0.55	36.1353357416902	1.89170636549434
0.93	0.55	37.1886732322394	1.75966626302726
0.95	0.55	43.1650794620461	2.11629373451753
0.97	0.55	46.4444859063922	2.20007265878107
0.99	0.55	Inf	NA
0.51	0.57	15.5785628598538	1.29879151297049
0.53	0.57	18.8370846891634	1.31272777515419
0.55	0.57	14.235309845577	1.07073848885135
0.57	0.57	18.9750334892251	1.40243397702457
0.59	0.57	18.7159327820584	1.18344322668756
0.61	0.57	17.9404585252758	1.17873928913521
0.63	0.57	19.1133265937742	1.30540512559355
0.65	0.57	20.1885306838393	1.34929655448842
0.67	0.57	20.2451511756642	1.10861716298965
0.69	0.57	20.557085563948	1.38253530685343
0.71	0.57	19.8584586985038	1.37544354985377
0.73	0.57	20.7328365620343	1.32638705228571
0.75	0.57	20.0119691855992	1.42601047421612
0.77	0.57	19.8889325557455	1.3441058196159
0.79	0.57	24.0765842824538	1.63516573328402
0.81	0.57	23.9101676437107	1.57348838313654
0.83	0.57	24.771143110305	1.66351213734587
0.85	0.57	28.4218076792313	1.64346906963114
0.87	0.57	29.926098418906	1.54164686657762
0.89	0.57	27.2788134147941	1.62199348300302
0.91	0.57	36.447754860649	1.70810407387039
0.93	0.57	32.7922990433632	1.69846967131439
0.95	0.57	41.3315561553651	1.82684976055219
0.97	0.57	51.5417026679419	2.32325473499889
0.99	0.57	Inf	NA
0.51	0.59	17.3040632926701	1.10518674347811
0.53	0.59	18.4033373855352	1.29143063598986
0.55	0.59	16.3002244791642	1.23271130710021
0.57	0.59	18.1870703463287	1.3613554556296
0.59	0.59	18.282918766039	1.20056383703064
0.61	0.59	18.3731672352267	1.40914233895873
0.63	0.59	17.7130685090361	1.32855689707119
0.65	0.59	17.8175791312194	1.23298322838096
0.67	0.59	19.2454283528774	1.30961773490196
0.69	0.59	17.2427814712134	1.19887610380597
0.71	0.59	21.0221853133681	1.35761369045032
0.73	0.59	19.908137205061	1.32261456652961
0.75	0.59	21.2671749844584	1.37778802498542
0.77	0.59	20.7282443014077	1.24625445575184
0.79	0.59	22.8300641512815	1.3763817738545
0.81	0.59	23.3877649062521	1.59680984294274
0.83	0.59	26.9100784528065	1.61982814124048
0.85	0.59	26.8307602443585	1.47848720950983
0.87	0.59	30.1176121374789	1.77007041686376
0.89	0.59	27.4518565231	1.8245522485795
0.91	0.59	31.2433437518995	1.69545626090016
0.93	0.59	33.6076242321074	1.7286972100358
0.95	0.59	42.3202515423178	1.768688392451
0.97	0.59	50.044171240337	2.08523697096483
0.99	0.59	Inf	NA
0.51	0.61	14.5397614994593	0.936879201416723
0.53	0.61	16.6638080793821	1.06062864219177
0.55	0.61	16.2786294997365	1.18837881920893
0.57	0.61	15.8099187268472	0.971120995746936
0.59	0.61	21.3900113352905	1.32039554339893
0.61	0.61	18.1901300434691	1.26756496392156
0.63	0.61	18.7699499812935	1.39034814464559
0.65	0.61	15.6063264647699	1.15343058888579
0.67	0.61	20.1460348876524	1.54994789533275
0.69	0.61	19.6902368995351	1.28586303616288
0.71	0.61	18.2388141006545	1.30714960890141
0.73	0.61	20.157750465718	1.35603203399123
0.75	0.61	20.8779528129964	1.43162672119967
0.77	0.61	21.6814171262236	1.24004602394105
0.79	0.61	20.4102875463726	1.48931090855144
0.81	0.61	22.2567535526296	1.53276637699138
0.83	0.61	24.7417453944465	1.55032572309133
0.85	0.61	26.9386586976409	1.58027717554283
0.87	0.61	27.5289876630641	1.87117358796998
0.89	0.61	27.6712075493444	1.98473190975635
0.91	0.61	31.3555859551314	1.88456821956569
0.93	0.61	37.2031794366216	1.80421953930398
0.95	0.61	41.6961496488355	2.02349220302213
0.97	0.61	52.58745778019	2.19251057965367
0.99	0.61	Inf	NA
0.51	0.63	14.9034162156775	1.18148708260177
0.53	0.63	15.6767049127777	1.14882017393341
0.55	0.63	17.2741625909077	1.2890181940505
0.57	0.63	15.4971419539925	1.19797817997906
0.59	0.63	16.700687947592	1.16127843320659
0.61	0.63	19.7753452107246	1.33335638346429
0.63	0.63	18.7502985855647	1.19157789802604
0.65	0.63	16.5575205834618	1.2419776662865
0.67	0.63	20.2028717397002	1.34428512157533
0.69	0.63	19.8628698485534	1.33451199236778
0.71	0.63	19.3452853668871	1.39379156681763
0.73	0.63	21.5231050645959	1.31573303047934
0.75	0.63	21.9285367398867	1.40374008361016
0.77	0.63	21.9960862325518	1.45908791400507
0.79	0.63	21.9436922296503	1.2867352430306
0.81	0.63	22.9778604552048	1.4206120747937
0.83	0.63	25.7802788310973	1.59929832381618
0.85	0.63	25.5492026002906	1.59547083629785
0.87	0.63	26.1492023827424	1.87464990322943
0.89	0.63	28.0458150386579	1.67179379853145
0.91	0.63	31.6892750222426	1.58329997301212
0.93	0.63	35.7050463420584	1.95400379516237
0.95	0.63	40.6521569358382	1.9206050165936
0.97	0.63	49.1654756188457	2.31486235523232
0.99	0.63	69.7572334630657	2.62697731400906
0.51	0.65	18.3812763608813	1.27314299321089
0.53	0.65	15.8993038617041	1.12513175990241
0.55	0.65	16.3234123422179	1.18083531494485
0.57	0.65	14.0204246137238	1.0104764633459
0.59	0.65	15.9023129965731	1.24426501906562
0.61	0.65	16.9090816803602	1.27121116856611
0.63	0.65	17.1470110052846	1.25350615282924
0.65	0.65	18.5826221450791	1.25860674560418
0.67	0.65	19.2898099737632	1.23877607866641
0.69	0.65	20.0548186241331	1.31331372141319
0.71	0.65	17.4234461493349	1.13335672480676
0.73	0.65	19.3531160138437	1.24138682314083
0.75	0.65	18.6854405749005	1.20934148915646
0.77	0.65	22.3637184693171	1.449965986129
0.79	0.65	23.1659174469126	1.44344204448572
0.81	0.65	22.082274521601	1.47472001869976
0.83	0.65	22.3826443476357	1.46815717565785
0.85	0.65	25.7749250734273	1.51654142819804
0.87	0.65	26.2685669312566	1.56762817505284
0.89	0.65	26.337170397628	1.58318672691066
0.91	0.65	34.5887344877617	1.81431564367288
0.93	0.65	30.733018327908	1.6813837780787
0.95	0.65	38.9188044794292	2.07521282567752
0.97	0.65	43.6772339123409	1.99231755142657
0.99	0.65	Inf	NA
0.51	0.67	15.8905673075724	1.28033573562371
0.53	0.67	16.5829706654885	1.19783798208037
0.55	0.67	14.5005426852283	1.09457000752278
0.57	0.67	16.824902218845	1.0705808393552
0.59	0.67	19.2254877360459	1.34581662611817
0.61	0.67	15.7972993469171	1.17643215234604
0.63	0.67	18.46730649192	1.26541622979654
0.65	0.67	16.6817394388043	1.2151038028074
0.67	0.67	18.8039797789269	1.21875771882463
0.69	0.67	20.424109425196	1.30845437419557
0.71	0.67	17.6960800653226	1.15498283247553
0.73	0.67	18.8405532059115	1.38798271219415
0.75	0.67	20.7826144877858	1.35753985182219
0.77	0.67	18.4095015465312	1.2352435578172
0.79	0.67	21.3164399885276	1.56517884929369
0.81	0.67	22.7515073775215	1.40620405957324
0.83	0.67	25.9927673612558	1.4871693149054
0.85	0.67	23.3199297354863	1.53419203851525
0.87	0.67	26.7700600981768	1.51863025538085
0.89	0.67	25.797664241158	1.54060267126292
0.91	0.67	29.0086249462189	1.56357113532597
0.93	0.67	30.5942682718697	1.81916623085157
0.95	0.67	40.2582607770579	1.98570250404838
0.97	0.67	47.497163334606	2.09716205421228
0.99	0.67	Inf	NA
0.51	0.69	16.4909823738405	1.1327276813043
0.53	0.69	16.6690335744155	1.14036281667466
0.55	0.69	16.2696104631255	1.21626433026939
0.57	0.69	15.0536694242494	1.002871542669
0.59	0.69	16.5070749397479	1.17499487697779
0.61	0.69	16.4359665953517	1.15816678137131
0.63	0.69	15.9334051969645	1.16816241858725
0.65	0.69	18.2097712218317	1.17311185585075
0.67	0.69	16.4647494372231	1.15081853133662
0.69	0.69	18.8747475074298	1.34557260699925
0.71	0.69	20.8140909674371	1.44082624227109
0.73	0.69	19.625519066128	1.33692367935713
0.75	0.69	19.6838097577855	1.37495822113745
0.77	0.69	18.2095608617261	1.27773893347866
0.79	0.69	22.0921211851035	1.3448614361439
0.81	0.69	23.5567348801412	1.31018153126925
0.83	0.69	23.3421909993334	1.38936771069321
0.85	0.69	25.6571619733772	1.60498256090406
0.87	0.69	25.787476704331	1.43433423560648
0.89	0.69	28.4757897332433	1.71259533476789
0.91	0.69	32.0234122269921	1.65938817844965
0.93	0.69	32.3535742560315	1.63556721986044
0.95	0.69	36.5477900549209	1.80381980178653
