test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.91	0.67	26.5597659965371	Inf	30.5	2.6
0.93	0.67	47.6581659459931	Inf	25.6	2.3
0.95	0.67	37.6569118354745	Inf	20.2	1.1
0.97	0.67	43.8508939938348	Inf	11.6	0.1
0.99	0.67	72.9209664605097	Inf	4.1	0.1
0.51	0.69	19.8787411934094	68.07349337644	46	12.1
0.53	0.69	13.9496010972216	69.083821218542	42.9	10.8
0.55	0.69	15.3505297209599	58.8542959348198	47.6	11.3
0.57	0.69	21.0550417007951	63.6728597387085	47.2	10.2
0.59	0.69	17.589654126302	69.3746977037134	45.9	10.8
0.61	0.69	15.0345766647662	68.1351155487918	48.4	10.4
0.63	0.69	20.9319394718186	64.9162370215794	44.7	8.6
0.65	0.69	14.6305631593454	74.2727935855431	47.2	7.5
0.67	0.69	19.0181677818655	76.6201691843852	44.2	8.5
0.69	0.69	22.7767294142552	75.6751945230669	45.9	8.2
0.71	0.69	15.9313582986507	66.4973617689043	46	7.2
0.73	0.69	22.7329626597544	69.3569309776128	48.6	7.3
0.75	0.69	15.4670681938034	71.9871869674047	44.9	6.8
0.77	0.69	24.0230841891507	79.6937226316819	42.3	6
0.79	0.69	18.3579547626467	76.9792858832783	42.7	5.6
0.81	0.69	24.3161651250163	Inf	40.4	4.4
0.83	0.69	23.115270260152	75.1645000048292	39	4.1
0.85	0.69	17.0513032287012	75.7655087042715	38.3	3.5
0.87	0.69	24.8289620176124	85.1489512985064	36.8	2.9
0.89	0.69	19.8977789811369	84.7540542186876	31.7	3
0.91	0.69	26.3714890141206	85.8431924720468	29.4	2.9
0.93	0.69	26.7738715326642	Inf	26.5	1.3
0.95	0.69	37.5419647955867	Inf	18.7	1.1
0.97	0.69	40.7403449761836	Inf	13.2	0.2
0.99	0.69	65.2629040782713	Inf	4.3	0
0.51	0.71	7.95556126267951	53.2146034211898	45.2	11.5
0.53	0.71	10.761957947254	55.8566642680252	46.5	10.7
0.55	0.71	15.0336982138594	62.4750886751154	44.7	11.2
0.57	0.71	13.0723376252247	64.7477558670017	46.7	10.4
0.59	0.71	21.7237033036222	64.4340740809649	46	9.4
0.61	0.71	16.6487808648852	64.581339065996	47.3	11
0.63	0.71	14.7674699868957	70.6797969070182	48.6	9.5
0.65	0.71	20.562462726223	72.9940444870109	45.4	10.3
0.67	0.71	21.4111869588513	68.0542736628496	45.4	10.3
0.69	0.71	18.2912109370109	74.5189950601359	48.1	9.8
0.71	0.71	26.8408197038831	73.7159609999422	45.4	7.7
0.73	0.71	12.7293768264673	71.6468344194992	45	7.7
0.75	0.71	14.9156371353845	79.866560130271	43.8	6.5
0.77	0.71	18.7439337470324	71.1148675147895	43.4	7.1
0.79	0.71	13.9606669894511	69.2973483219579	44.4	6.3
0.81	0.71	27.394928746071	79.236114886467	42.9	4.8
0.83	0.71	23.980833999496	72.322283976424	40.8	5.6
0.85	0.71	26.9423924074031	85.0341637851859	36.9	4.1
0.87	0.71	31.0074150203663	77.6823701002841	35	3.6
0.89	0.71	20.5132206395956	80.1311524190042	31.4	3.4
0.91	0.71	26.6184791225019	Inf	30.2	2.7
0.93	0.71	39.6833736226066	Inf	26.1	1.7
0.95	0.71	33.7129969435314	Inf	22.2	0.8
0.97	0.71	45.1208669372202	Inf	15.4	1
0.99	0.71	76.1087310218711	Inf	5.6	0
0.51	0.73	13.145646566858	61.5500686199244	42.6	11.8
0.53	0.73	17.739326158932	65.299944922614	46.4	12
0.55	0.73	10.1006092791573	60.4571922220044	43.9	11.2
0.57	0.73	25.1702263922784	68.2760824542926	42.3	10.2
0.59	0.73	21.6843267930121	68.9292647151915	45.1	11.3
0.61	0.73	15.7747796571199	58.4592955178195	44.6	11.8
0.63	0.73	16.8086066657005	59.6517089676795	48.5	10.3
0.65	0.73	15.1620161237156	62.2829784344937	45.4	9.9
0.67	0.73	21.1689036620664	76.3669142066673	43.7	11.4
0.69	0.73	27.2086980592821	61.1370747391969	46.1	10.5
0.71	0.73	20.7140081024538	76.2066848400972	42.6	9
0.73	0.73	16.9457856721686	66.7742650227404	44.1	8.1
0.75	0.73	23.4482078695019	73.3650339911789	45.8	6.8
0.77	0.73	15.6128974280527	73.6432479759265	44.6	6.8
0.79	0.73	12.2946912294868	72.8934676397322	46.7	6.8
0.81	0.73	17.9872621391186	74.3906034044481	41.7	6.6
0.83	0.73	28.0624961336373	79.8948461556737	42	5.4
0.85	0.73	19.5800750530176	82.1953307778209	42.2	4.6
0.87	0.73	27.1296381147563	82.902472909164	36.9	5.1
0.89	0.73	26.861448856815	Inf	33.7	2.8
0.91	0.73	24.3620660404237	91.0084154623809	31.1	2.8
0.93	0.73	28.5023623050445	Inf	26.9	1.9
0.95	0.73	32.9782755543285	Inf	21.8	1.5
0.97	0.73	40.2681697857032	Inf	15.1	0.8
0.99	0.73	74.6644209858557	Inf	4.7	0.3
0.51	0.75	10.1655974458434	62.7641908317503	44.4	11.3
0.53	0.75	17.2789683338059	61.952738547647	44.2	12.6
0.55	0.75	17.5276227171928	59.249057921857	43.7	11.8
0.57	0.75	22.3952818500474	58.5205299181748	43.5	12.1
0.59	0.75	19.4454206984826	66.0205866647658	41.9	11.5
0.61	0.75	16.036778684305	67.3674662495106	46.4	10.3
0.63	0.75	15.7785794886216	74.6340792362649	39.8	9.6
0.65	0.75	16.7419160930223	65.6327376479799	46.2	10.3
0.67	0.75	25.4084056493337	72.7616530657638	45.9	10.7
0.69	0.75	19.4696625019508	67.5982507427812	45.4	8.5
0.71	0.75	25.4148994411536	71.7651734628172	43.2	10.1
0.73	0.75	21.0792548768794	71.5425724137898	44.4	8.5
0.75	0.75	17.1989946953364	69.8593969082592	44.7	8.3
0.77	0.75	14.0304189432229	72.406864479497	46.5	8.2
0.79	0.75	20.6780083188697	70.9662048277539	41.4	8
0.81	0.75	26.2411112269838	77.415317839229	42.4	6.2
0.83	0.75	19.2394069618655	71.1362806524585	39.7	4.8
0.85	0.75	18.9166185401085	75.3142728884374	41.2	6.7
0.87	0.75	16.5877533916176	Inf	40.6	5
0.89	0.75	19.3876564377199	Inf	36.9	3.9
0.91	0.75	21.046364982471	90.8288310434586	32.6	3.4
0.93	0.75	47.0125549230613	Inf	26.5	2.2
0.95	0.75	33.9716071158831	Inf	23.2	1.9
0.97	0.75	42.6216543787064	Inf	15.6	0.7
0.99	0.75	55.3485123511389	Inf	5.5	0.1
0.51	0.77	14.3397674536275	57.2159041098613	39.3	14.3
0.53	0.77	15.8749320320682	58.6479942618704	40.6	14.3
0.55	0.77	18.6548580144532	62.9222187679566	40	13
0.57	0.77	17.2487341518007	59.3712880387677	42.2	12.3
0.59	0.77	13.7899334990766	61.1906355973816	45.1	12
0.61	0.77	17.9849092761487	58.8902507889472	40.3	11.4
0.63	0.77	12.1824488409737	58.776162656703	43.2	12.1
0.65	0.77	16.9786945123013	66.8535754883509	45.3	12.4
0.67	0.77	11.2093178797353	60.2628447155465	46.2	10.5
0.69	0.77	18.008598455675	54.7701203035683	45.6	10.6
0.71	0.77	21.5270876665587	70.9254101879362	44	10.4
0.73	0.77	17.0329892831481	69.4060781247402	44.1	10.5
0.75	0.77	13.9553233386826	69.6473550026404	45.3	8.8
0.77	0.77	21.4230448065993	71.9352325958115	46.1	9.5
0.79	0.77	18.4797269663932	75.7133042126294	41.2	8.7
0.81	0.77	21.9463659150792	76.4744763274578	42.1	6.9
0.83	0.77	22.8787548538155	82.6178963228801	42.1	5.4
0.85	0.77	21.1270046373804	72.4224325388992	41	5.9
0.87	0.77	23.3319855212019	Inf	40.4	4.4
0.89	0.77	26.540306650703	83.8044979728685	36.7	4.4
0.91	0.77	26.0155002287824	79.7579037068545	32.5	4
0.93	0.77	32.1608261619746	88.0771576742433	28.3	2.7
0.95	0.77	28.9442553089404	Inf	24.8	1.7
0.97	0.77	54.2307121568363	Inf	16.4	1.1
0.99	0.77	71.3017796292661	Inf	5.5	0
0.51	0.79	10.435550986925	56.8239248905561	41.7	13.9
0.53	0.79	10.5075874161723	49.4586888188884	41.2	13
0.55	0.79	18.2210755245195	61.2798257654253	40.6	13.1
0.57	0.79	21.2470554426121	56.1336577448504	41.4	13.6
0.59	0.79	14.4832198174496	54.3184543871849	41	12.3
0.61	0.79	19.2542633239423	68.1083193077286	43	12.9
0.63	0.79	9.41618362748409	64.7229393162939	43.8	13.4
0.65	0.79	15.9106219005219	64.8898924960901	42.2	12.6
0.67	0.79	17.3758234040754	62.0707838036329	44.4	11.7
0.69	0.79	16.2744278258025	58.3063401841648	46.9	12.3
0.71	0.79	19.783354202149	59.9761080542678	41.8	10.6
0.73	0.79	14.7563636804871	59.2634556129009	43.4	10.4
0.75	0.79	22.1131335950078	66.6375223922331	43.5	9.8
0.77	0.79	23.8924991571414	54.9690303874166	42.2	9.4
0.79	0.79	25.4994781399468	69.0747185485698	43.9	9.4
0.81	0.79	15.8075262221245	75.5886996365797	44.5	7.5
0.83	0.79	18.7029309683319	74.1996261050073	41.7	7
0.85	0.79	22.3404424385832	77.7835662215363	42.4	6.5
0.87	0.79	24.4721891026345	76.481242642867	39.3	7.6
0.89	0.79	25.9553062824815	85.8749860246259	37.6	4.9
0.91	0.79	26.7320536507688	77.9804868695375	31.8	3.6
0.93	0.79	25.8296401102443	Inf	30.1	3
0.95	0.79	33.3305054581559	91.7457890537947	23.3	2.1
0.97	0.79	43.601021553206	Inf	17.5	1.6
0.99	0.79	61.0823220546585	Inf	7.2	0.6
0.51	0.81	10.9807334959946	53.8284125382019	40.6	14.3
0.53	0.81	21.7736164570536	55.5348316184234	39.1	13.1
0.55	0.81	12.2623185433916	62.3638379787673	39.6	12.7
0.57	0.81	12.4824109412223	58.8501603990394	39.3	14.4
0.59	0.81	19.2078557476271	61.3113684575768	41.1	14.6
0.61	0.81	11.7565397567102	51.9406324201401	35.9	12.5
0.63	0.81	15.6867913670763	61.0147838377214	43.1	12.6
0.65	0.81	13.9082592357838	61.6436484604256	43.5	12.3
0.67	0.81	5.79063270951174	57.3010397197078	42.5	11.8
0.69	0.81	16.3219538102826	65.6683012875042	43	12.1
0.71	0.81	16.2367180471655	69.9834006934047	43.4	11.3
0.73	0.81	13.0135451595639	70.7043311738647	41.7	11.1
0.75	0.81	18.4583259579919	61.8288218611158	41.6	11.3
0.77	0.81	18.2062863130848	57.9218369693829	45.2	8.8
0.79	0.81	18.1093073957016	70.9661383795809	44.4	9.7
0.81	0.81	22.3403702383735	70.1256339709596	41.8	8.8
0.83	0.81	21.8035398822245	78.5339715421854	40.1	7.3
0.85	0.81	16.3084149812059	76.821183146694	40.5	6.6
0.87	0.81	27.3015390462246	73.5063381375384	39.7	5.9
0.89	0.81	20.1215324933771	77.9984935251745	36.5	5.6
0.91	0.81	22.6071439770302	81.8744909265433	34.1	3.9
0.93	0.81	26.6918712621409	82.383770218962	31.4	3.5
0.95	0.81	33.6195501713018	83.6602061443318	22.7	2.2
0.97	0.81	31.250111869853	Inf	17.4	1.7
0.99	0.81	50.6461425471593	Inf	7.4	0.5
0.51	0.83	8.72186099469721	49.7219850475718	31.1	13
0.53	0.83	16.797472261587	56.8479081889144	35	14.3
0.55	0.83	14.1579499723091	53.6616656675871	39.1	14.6
0.57	0.83	15.4803954437041	52.4816138770023	39.9	14
0.59	0.83	13.122248016034	44.3829055796577	38.5	13
0.61	0.83	16.667527287638	62.3163253671137	38	14.7
0.63	0.83	15.2659740004332	53.9703168718555	37.8	13.1
0.65	0.83	19.8971768882931	59.5985950851478	41.5	12.8
0.67	0.83	19.291202089363	64.4017359939218	42.6	13.7
0.69	0.83	20.502341665858	58.3261589180893	41.7	12.1
0.71	0.83	15.3667947426307	54.104413443172	43.1	13.3
0.73	0.83	16.3740576036243	65.5565750330648	44.3	11.8
0.75	0.83	18.1536238186985	70.4465254155229	43.5	11.5
0.77	0.83	19.7945214976468	65.4459267901862	40.9	10.7
0.79	0.83	16.2667419112129	61.4520857810775	42.6	11
0.81	0.83	20.9235452066941	68.7748864604241	44.3	10.8
0.83	0.83	16.8618385888374	72.068210226679	39.6	9.2
0.85	0.83	17.740191211754	68.5422616854303	41.4	7.8
0.87	0.83	16.2838401087599	73.3643783992938	41.7	6.1
0.89	0.83	22.8210653323311	73.4148273956767	38.3	7.3
0.91	0.83	26.2436656655443	73.8767902060834	36.3	6.5
0.93	0.83	25.6519934905187	79.3144647851548	33	4.8
0.95	0.83	25.2125401758734	82.6813197887778	28.8	3.6
0.97	0.83	38.3127539732233	92.0652574700064	20.3	1.8
0.99	0.83	58.9796633900056	Inf	7.7	0.4
0.51	0.85	15.9576007361987	52.0418824264884	33.3	14
0.53	0.85	16.3844259841323	54.7167564926831	34	15.4
0.55	0.85	24.9174910939972	60.157826946396	32.8	16.1
0.57	0.85	13.6525090009042	46.1555046489616	36.7	14.4
0.59	0.85	15.21249231174	54.4728745494014	35.5	13.1
0.61	0.85	21.5335409806097	58.1359592599604	37.3	13.8
0.63	0.85	13.5115291020808	50.955651561512	37.8	14
0.65	0.85	9.0688435240725	53.4660934755231	40.7	13.1
0.67	0.85	21.0576478946696	59.7174324695916	39.9	13.8
0.69	0.85	19.3994134548841	51.6740529922236	39	12.6
0.71	0.85	15.1089879049956	59.5435851769468	39.1	11.4
0.73	0.85	22.0320707556417	64.9143741896629	40	13.5
0.75	0.85	16.5712209451372	56.8950370168484	41.6	12.6
0.77	0.85	17.5211757934435	68.8113262593642	41.2	10.4
0.79	0.85	20.5373881101761	68.0306281376007	39.9	10.2
0.81	0.85	24.1996594190483	68.2476251644832	40.7	9.7
0.83	0.85	19.448705297005	71.2094988394265	41.1	9.8
0.85	0.85	17.8395106419184	76.6593884056279	40.7	8.5
0.87	0.85	30.059543644977	75.5152006033071	37.6	7.3
0.89	0.85	23.6746252401268	83.1857310500801	36.8	5
0.91	0.85	25.4588863754298	78.2896587413449	37.6	7.8
0.93	0.85	22.1987788104799	Inf	33	3.4
0.95	0.85	28.0443835830408	Inf	25.8	3.2
0.97	0.85	39.2190425812093	89.2741157199036	19.6	2.3
0.99	0.85	49.5110158211152	Inf	8.2	0.8
0.51	0.87	10.4402518966372	39.7102945012004	34.2	14.2
0.53	0.87	11.9814152890565	50.72092923371	32.9	15.6
0.55	0.87	11.8945219547183	46.7119664237469	34	14.4
