trait	subtree	node	distance	cluster_size
6	479	4418	69.991058	2
6	520	4459	19.992422	2
6	529	4468	185.940353	3
6	646	4585	79.325542	3
6	652	4591	1.77175	2
6	655	4594	12.6390776	5
6	667	4606	69.9105248	17
6	687	4626	85.843429	12
6	709	4648	20.478838	3
6	719	4658	11.938372	3
6	744	4683	13.506708	2
6	754	4693	28.585151	4
6	758	4697	76.190735	2
6	1033	4972	33.307382	2
6	1170	5109	1.113458	3
7	22	3961	220.4286268	5
7	29	3968	240.64626	2
7	33	3972	55.047271	2
7	40	3979	21.061133	2
7	43	3982	238.641914	3
7	181	4120	4.621163	2
7	186	4125	6.514437	4
7	190	4129	1.85441	2
7	196	4135	6.086091	3
7	207	4146	5.246906	8
7	220	4159	26.37139	2
7	396	4335	196.845354	2
7	439	4378	2.400821	2
7	479	4418	69.991058	2
7	544	4483	15.83993	2
7	606	4545	208.6570618	6
7	652	4591	1.77175	2
7	655	4594	12.6390776	5
7	664	4603	108.530501	35
7	709	4648	20.478838	3
7	1020	4959	178.330748	2
7	1034	4973	1.282272	2
7	1107	5046	25.054952	2
7	1123	5062	84.847623	2
7	1146	5085	33.434757	2
7	1160	5099	58.0220866	3
7	1187	5126	29.252491	2
7	1204	5143	76.237084	4
7	1227	5166	1.964329	2
7	1246	5185	3.303576	2
7	1271	5210	114.072795	3
7	1339	5278	66.530439	3
7	1375	5314	2.230771	2
7	1380	5319	4.1151486	17
7	1431	5370	2.775011	2
7	1468	5407	35.574594	2
7	1469	5408	172.816774	122
7	1553	5492	279.365089	2
7	1622	5561	2.909623	3
7	1627	5566	78.275037	2
7	1648	5587	708.5596478	18
7	1683	5622	95.398504	5
7	1687	5626	389.6317692	26
7	1715	5654	455.846028	3
7	1789	5728	170.327369	3
7	1797	5736	186.219394	7
7	1811	5750	140.684861	3
7	1842	5781	106.1713528	4
7	1869	5808	119.828906	5
7	1879	5818	26.538822	2
7	1954	5893	84.0621112	8
7	1961	5900	121.9632286	10
7	1970	5909	254.944326	6
7	1975	5914	276.222097	21
7	2002	5941	583.8893388	46
7	2044	5983	807.559733	174
7	2212	6151	697.207019	4
7	2227	6166	587.4367728	62
7	2335	6274	261.2047	2
7	2346	6285	523.2122994	15
7	2367	6306	304.435917	2
7	2374	6313	79.3600808	12
7	2387	6326	1.639708	2
7	2466	6405	2.521835	2
7	2467	6406	23.779081	2
7	2520	6459	570.350359	7
7	2697	6636	57.6906188	6
7	2718	6657	102.817564	2
7	2806	6745	163.769828	2
7	2834	6773	1.628541	2
7	2835	6774	685.168455	4
7	2840	6779	1325.9377152	66
7	2912	6851	1.61983	2
7	2925	6864	50.244133	4
7	2929	6868	417.0431314	30
7	2969	6908	2.80055	2
7	2997	6936	56.291059	4
7	3069	7008	29.4613726	3
7	3071	7010	7.576565	2
7	3083	7022	4.738672	50
7	3094	7033	72.559023	2
7	3096	7035	339.88772	46
7	3153	7092	76.397484	17
7	3181	7120	71.641007	2
7	3186	7125	160.426088	2
7	3191	7130	52.873168	2
7	3212	7151	142.06116	4
7	3215	7154	203.1519106	39
7	3259	7198	3.115104	2
7	3262	7201	8.996293	2
7	3276	7215	23.332008	2
7	3301	7240	44.0898206	6
7	3334	7273	40.470708	7
