trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
K01270; -0.000269852944642975; -0.000493997894182737; -654.395981817785; 0.99930525670675; 3069.503434; 4218.0510785; 72; 10; 3993, 4028, 6255, 6272, 6333, 6751, 6780, 6826, 7483, 7493; 3956.534353, 3069.503434, 3820.548554, 3768.592482, 3647.762035, 4272.868558, 3235.974374, 3362.413568, 3526.197867, 3422.85993
K01278; -7.63497754945825e-05; -0.000540194013866735; -432.29346181152; 0.999345764518162; 2960.419703; 4075.401143; 38; 4; 4024, 7484, 7509, 7529; 2960.419703, 3215.785082, 3971.701166, 4266.894074
K01283; -6.66557628525078e-05; -0.0030649483966841; -345.413124957503; 0.998996568602703; 2449.429427; 4149.825239; 120; 2; 3942, 4019; 3306.421142, 2449.429427
K01312; -0.000231138694990746; -0.037810462930019; -146.044146065276; 0.999; 2449.429427; 4287.987329; 644; 3; 3942, 4017, 4019; 3306.421142, 4108.113661, 2449.429427
K01318; -0.000115292006245466; -0.00820741320586675; -192.381990164118; 0.999; 2449.429427; 4227.998741; 365; 2; 3941, 4019; 3065.384304, 2449.429427
K01322; -0.000595185562844819; -0.00150018453575642; -1308.5528900133; 0.999002613661529; 2766.855443; 4259.143208; 181; 2; 3941, 4021; 3065.384304, 2766.855443
K01338; -0.00156236589729077; -0.000230765465619511; -787.596304385988; 0.999020189454246; 2449.429427; 4269.402127; 139; 6; 3988, 3996, 3999, 4006, 4011, 4019; 4102.468167, 4366.573971, 4379.107172, 4300.060535, 3923.371133, 2449.429427
K01342; -0.000150673041859119; -0.00435800798621768; -430.899890513824; 0.998999996950743; 2743.244779; 4170.256596; 214; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
K01354; -0.000245077403828452; -0.000908910207325859; -769.693087016364; 0.999078756251632; 2449.429427; 4178.4117945; 90; 2; 3941, 4019; 3065.384304, 2449.429427
K01358; -0.000350089348375; -0.000101138867718149; -397.463327047299; 0.999350410983206; 2449.429427; 4326.146139; 17; 2; 4009, 4019; 4350.645122, 2449.429427
K01392; -0.000119541503302694; -0.00344744468426368; -271.089468493398; 0.998999990643148; 2449.429427; 4159.351744; 199; 2; 3941, 4019; 3065.384304, 2449.429427
K01399; -5.50335073209068e-05; -0.0110849100545033; -106.820188861129; 0.999; 2449.429427; 4232.645312; 416; 2; 3942, 4019; 3306.421142, 2449.429427
K01406; -0.00029542924856329; -0.0142303905351314; -423.397208413791; 0.999; 2449.429427; 4256.595152; 479; 2; 3941, 4019; 3065.384304, 2449.429427
K01424; -0.00243455203572133; -0.00103689626656894; -1660.42917150528; 0.999000073516065; 2984.007542; 4269.372253; 309; 10; 3945, 4010, 4015, 4025, 6844, 7479, 7484, 7492, 7518, 7558; 3481.716761, 3424.599876, 4134.091712, 2984.007542, 3288.172019, 3290.274617, 3215.785082, 3076.40482, 3536.312507, 4015.591685
K01425; -0.0012200290371829; -0.00375652968365369; -1786.40728344943; 0.998999999948184; 2743.244779; 4238.021077; 297; 4; 3941, 4020, 7558, 7560; 3065.384304, 2743.244779, 4015.591685, 3728.445634
K01426; -0.00124935984997857; -0.00224925926318443; -1718.82818923113; 0.998999998114254; 2743.244779; 4236.230172; 257; 5; 3943, 4014, 4018, 4020, 7557; 3335.837017, 3870.326616, 4386.832105, 2743.244779, 3137.347316
K01428; -0.000815851205822281; -0.00294103619955769; -1610.26379440504; 0.998999998470189; 2449.429427; 4240.879289; 255; 2; 3941, 4019; 3065.384304, 2449.429427
K01429; -0.000774562959379678; -0.00333299271077519; -1610.65492916409; 0.998999998928602; 2449.429427; 4235.05854; 263; 3; 3942, 4017, 4019; 3306.421142, 4108.113661, 2449.429427
K01430; -0.000811225785576255; -0.00321965879606476; -1618.6702399744; 0.998999998934168; 2797.106088; 4243.446629; 244; 5; 3941, 4022, 7518, 7551, 7557; 3065.384304, 2797.106088, 3536.312507, 4268.52369, 3137.347316
K01432; -0.000379382966357912; -0.00749274720070244; -770.201427988086; 0.998999999999998; 2449.429427; 4231.461394; 347; 2; 3941, 4019; 3065.384304, 2449.429427
